paper_id,source,synthesis_quality,synthesis_clarity,synthesis_significance,synthesis_originality,synthesis_overall
FA0001,Cycle Researcher,1,1,1,1,1
FA0001,Data-to-Paper,2,2,1,1,1
FA0001,FARS,2,2,2,2,2
FA0001,Sakana v1,1,1,1,1,1
FA0001,Sakana v2,1,2,1,1,1
FA0005,Cycle Researcher,1,1,1,1,1
FA0005,Data-to-Paper,1,2,1,1,1
FA0005,FARS,2,2,2,2,3
FA0005,Sakana v1,1,2,1,1,1
FA0005,Sakana v2,1,2,1,1,1
FA0006,Cycle Researcher,1,2,1,1,1
FA0006,Data-to-Paper,1,1,1,1,1
FA0006,FARS,2,3,2,2,3
FA0006,Sakana v1,1,2,1,1,1
FA0006,Sakana v2,1,1,1,2,1
FA0007,Cycle Researcher,1,2,1,2,1
FA0007,Data-to-Paper,1,2,1,1,1
FA0007,FARS,2,3,3,2,3
FA0007,Sakana v1,1,1,1,1,1
FA0007,Sakana v2,1,1,1,1,1
FA0013,Cycle Researcher,1,2,1,1,1
FA0013,Data-to-Paper,1,2,1,2,2
FA0013,FARS,2,3,2,2,2
FA0013,Sakana v1,1,1,1,1,1
FA0013,Sakana v2,1,1,1,1,1
FA0015,Cycle Researcher,1,2,1,1,1
FA0015,Data-to-Paper,1,2,1,1,1
FA0015,FARS,2,3,2,2,2
FA0015,Sakana v1,1,2,1,1,1
FA0015,Sakana v2,1,1,1,2,1
FA0020,Cycle Researcher,1,2,1,2,1
FA0020,Data-to-Paper,1,2,1,1,1
FA0020,FARS,2,3,2,2,2
FA0020,Sakana v1,1,2,1,1,1
FA0020,Sakana v2,1,1,1,1,1
FA0021,Cycle Researcher,1,1,1,1,1
FA0021,Data-to-Paper,1,2,1,1,1
FA0021,FARS,2,3,2,2,2
FA0021,Sakana v1,1,1,1,1,1
FA0021,Sakana v2,1,1,1,1,1
FA0035,Cycle Researcher,1,2,1,1,1
FA0035,Data-to-Paper,1,2,1,1,1
FA0035,FARS,2,3,2,2,2
FA0035,Sakana v1,1,1,1,1,1
FA0035,Sakana v2,1,1,1,1,1
FA0042,Cycle Researcher,1,1,1,2,1
FA0042,Data-to-Paper,1,2,1,1,1
FA0042,FARS,2,3,2,2,3
FA0042,Sakana v1,1,1,1,1,1
FA0042,Sakana v2,1,1,1,1,1
FA0046,Cycle Researcher,1,1,1,1,1
FA0046,Data-to-Paper,1,2,1,1,1
FA0046,FARS,2,3,2,2,2
FA0046,Sakana v1,1,2,1,1,1
FA0046,Sakana v2,1,1,1,1,1
FA0063,Cycle Researcher,1,2,1,2,1
FA0063,Data-to-Paper,1,2,1,1,1
FA0063,FARS,2,3,2,2,2
FA0063,Sakana v1,1,1,1,1,1
FA0063,Sakana v2,1,1,1,1,1
FA0067,Cycle Researcher,1,2,1,2,1
FA0067,Data-to-Paper,1,1,1,1,1
FA0067,FARS,2,3,1,2,2
FA0067,Sakana v1,1,1,1,1,1
FA0067,Sakana v2,1,1,1,1,1
FA0077,Cycle Researcher,1,1,1,1,1
FA0077,Data-to-Paper,1,2,1,1,1
FA0077,FARS,2,3,2,2,2
FA0077,Sakana v1,1,1,1,1,1
FA0077,Sakana v2,1,1,1,1,1
FA0080,Cycle Researcher,1,2,1,1,1
FA0080,Data-to-Paper,1,2,1,1,1
FA0080,FARS,2,3,2,2,2
FA0080,Sakana v1,1,2,1,1,1
FA0080,Sakana v2,1,1,1,1,1
